,datetime,r_f,near_maturity_time,days_in_year,T1_min,next_maturity_time,T2_min,close
142,2024-05-10 13:23:00,0.017044,2024-05-17 09:30:00,242,6967.0,2024-06-21 09:30:00,41527.0,5586.6152
143,2024-05-10 13:24:00,0.017044,2024-05-17 09:30:00,242,6966.0,2024-06-21 09:30:00,41526.0,5586.6829
144,2024-05-10 13:25:00,0.017044,2024-05-17 09:30:00,242,6965.0,2024-06-21 09:30:00,41525.0,5590.0573
145,2024-05-10 13:26:00,0.017044,2024-05-17 09:30:00,242,6964.0,2024-06-21 09:30:00,41524.0,5593.1343
146,2024-05-10 13:27:00,0.017044,2024-05-17 09:30:00,242,6963.0,2024-06-21 09:30:00,41523.0,5591.4313
147,2024-05-10 13:28:00,0.017044,2024-05-17 09:30:00,242,6962.0,2024-06-21 09:30:00,41522.0,5591.5391
148,2024-05-10 13:29:00,0.017044,2024-05-17 09:30:00,242,6961.0,2024-06-21 09:30:00,41521.0,5591.3792
149,2024-05-10 13:30:00,0.017044,2024-05-17 09:30:00,242,6960.0,2024-06-21 09:30:00,41520.0,5587.7075
150,2024-05-10 13:31:00,0.017044,2024-05-17 09:30:00,242,6959.0,2024-06-21 09:30:00,41519.0,5586.6214
151,2024-05-10 13:32:00,0.017044,2024-05-17 09:30:00,242,6958.0,2024-06-21 09:30:00,41518.0,5587.8387
152,2024-05-10 13:33:00,0.017044,2024-05-17 09:30:00,242,6957.0,2024-06-21 09:30:00,41517.0,5584.2379
153,2024-05-10 13:34:00,0.017044,2024-05-17 09:30:00,242,6956.0,2024-06-21 09:30:00,41516.0,5584.0128
154,2024-05-10 13:35:00,0.017044,2024-05-17 09:30:00,242,6955.0,2024-06-21 09:30:00,41515.0,5585.3436
155,2024-05-10 13:36:00,0.017044,2024-05-17 09:30:00,242,6954.0,2024-06-21 09:30:00,41514.0,5588.4467
156,2024-05-10 13:37:00,0.017044,2024-05-17 09:30:00,242,6953.0,2024-06-21 09:30:00,41513.0,5588.465
157,2024-05-10 13:38:00,0.017044,2024-05-17 09:30:00,242,6952.0,2024-06-21 09:30:00,41512.0,5588.7105
158,2024-05-10 13:39:00,0.017044,2024-05-17 09:30:00,242,6951.0,2024-06-21 09:30:00,41511.0,5583.9439
159,2024-05-10 13:40:00,0.017044,2024-05-17 09:30:00,242,6950.0,2024-06-21 09:30:00,41510.0,5586.1322
160,2024-05-10 13:41:00,0.017044,2024-05-17 09:30:00,242,6949.0,2024-06-21 09:30:00,41509.0,5585.2935
161,2024-05-10 13:42:00,0.017044,2024-05-17 09:30:00,242,6948.0,2024-06-21 09:30:00,41508.0,5586.8879
162,2024-05-10 13:43:00,0.017044,2024-05-17 09:30:00,242,6947.0,2024-06-21 09:30:00,41507.0,5585.7542
163,2024-05-10 13:44:00,0.017044,2024-05-17 09:30:00,242,6946.0,2024-06-21 09:30:00,41506.0,5585.1923
164,2024-05-10 13:45:00,0.017044,2024-05-17 09:30:00,242,6945.0,2024-06-21 09:30:00,41505.0,5579.4353
165,2024-05-10 13:46:00,0.017044,2024-05-17 09:30:00,242,6944.0,2024-06-21 09:30:00,41504.0,5579.7406
166,2024-05-10 13:47:00,0.017044,2024-05-17 09:30:00,242,6943.0,2024-06-21 09:30:00,41503.0,5578.3276
167,2024-05-10 13:48:00,0.017044,2024-05-17 09:30:00,242,6942.0,2024-06-21 09:30:00,41502.0,5576.9928
168,2024-05-10 13:49:00,0.017044,2024-05-17 09:30:00,242,6941.0,2024-06-21 09:30:00,41501.0,5578.931
